time,power_consumption.power,url,starttime
2021-11-14T01:02:56.056+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:56.559+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:57.068+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:57.571+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:58.072+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:58.575+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:59.078+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:02:59.581+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:03:00.083+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:03:00.586+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
2021-11-14T01:03:01.088+05:00,0,HALTED-ensonhaber.com,2021-11-14T00:58:06.556+05:00
