reading_time,power_watts,url,url_opening_time,SUM,COUNT,AVG
2021-11-24T01:03:48.803+05:00,20.51081823,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:50.307+05:00,7.184179825,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:50.808+05:00,0.164089216,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:51.309+05:00,0.487672574,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:51.810+05:00,21.19490255,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:52.311+05:00,20.73562979,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:52.812+05:00,21.02191154,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:53.313+05:00,20.35318928,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:53.814+05:00,20.58459619,pornhub.com,2021-11-24T01:02:54.297+05:00,,,
2021-11-24T01:03:54.315+05:00,20.2545497,TIMEOUT,2021-11-24T01:03:54.313+05:00,446.7960048,16,27.9247503
2021-11-24T01:03:54.816+05:00,23.2028603,SWITCHING,2021-11-24T01:03:54.321+05:00,9341.765984,453,20.62199996
2021-11-24T01:03:55.316+05:00,22.88571352,SWITCHING,2021-11-24T01:03:54.321+05:00,,,
2021-11-24T01:03:55.817+05:00,21.8592482,SWITCHING,2021-11-24T01:03:54.321+05:00,,,
2021-11-24T01:03:56.318+05:00,24.64837971,SWITCHING,2021-11-24T01:03:54.321+05:00,,,
2021-11-24T01:03:56.819+05:00,23.98766518,SWITCHING,2021-11-24T01:03:54.321+05:00,,,
2021-11-24T01:03:57.320+05:00,26.33317696,SWITCHING,2021-11-24T01:03:54.321+05:00,,,
2021-11-24T01:03:57.821+05:00,18.98116875,SWITCHING,2021-11-24T01:03:54.321+05:00,,,
2021-11-24T01:03:58.322+05:00,20.51254914,SWITCHING,2021-11-24T01:03:54.321+05:00,,,
2021-11-24T01:03:58.823+05:00,19.35850768,tinder.com,2021-11-24T01:03:58.400+05:00,2420.938252,118,20.51642587
2021-11-24T01:03:59.323+05:00,22.93281134,tinder.com,2021-11-24T01:03:58.400+05:00,,,
2021-11-24T01:03:59.824+05:00,20.36797445,tinder.com,2021-11-24T01:03:58.400+05:00,,,
2021-11-24T01:04:00.325+05:00,27.19956965,tinder.com,2021-11-24T01:03:58.400+05:00,,,
